ts	tester	event
2026-04-27T08:17:08.432Z	tester-1	turn-end
2026-04-27T08:17:13.820Z	tester-2	turn-end
2026-04-27T08:17:16.247Z	tester-1	turn-end
2026-04-27T08:17:18.869Z	tester-2	turn-end
2026-04-27T08:17:21.017Z	tester-1	turn-end
2026-04-27T08:17:23.616Z	tester-2	turn-end
2026-04-27T08:17:25.840Z	tester-1	turn-end
2026-04-27T08:17:28.406Z	tester-2	turn-end
2026-04-27T08:17:30.424Z	tester-1	turn-end
2026-04-27T08:17:32.944Z	tester-2	turn-end
2026-04-27T08:17:35.261Z	tester-1	turn-end
2026-04-27T08:17:39.285Z	tester-2	turn-end
2026-04-27T08:17:41.265Z	tester-1	turn-end
2026-04-27T08:17:44.021Z	tester-2	turn-end
2026-04-27T08:17:46.058Z	tester-1	turn-end
2026-04-27T08:17:49.113Z	tester-2	turn-end
2026-04-27T08:17:51.167Z	tester-1	turn-end
2026-04-27T08:17:53.382Z	tester-2	turn-end
2026-04-27T08:17:55.435Z	tester-1	turn-end
