date	anti_pattern	helper	era
2026-04-14	661	0	pre-140
2026-04-15	812	212	pre-140
2026-04-16	289	1068	pre-140
2026-04-17	233	530	pre-140
2026-04-18	0	24	pre-140
2026-04-19	0	23	pre-140
2026-04-20	4	543	pre-140
2026-04-21	96	2246	post-140
2026-04-22	9	1280	post-140
2026-04-23	3	3	post-140
2026-04-24	18	620	post-140
2026-04-25	43	389	post-140
2026-04-26	41	653	post-140
2026-04-27	7	476	post-140
2026-04-29	0	113	post-140
2026-04-30	9	241	post-140
2026-05-01	4	207	post-140
2026-05-02	0	40	post-140
2026-05-03	7	80	post-140
2026-05-04	5	121	post-140
2026-05-09	7	21	post-140
