date	agent	anti_pattern	helper
2026-04-14	code-agent	124	0
2026-04-14	science-agent	537	0
2026-04-15	code-agent	245	41
2026-04-15	science-agent	567	171
2026-04-16	code-agent	202	252
2026-04-16	science-agent	87	816
2026-04-17	code-agent	227	50
2026-04-17	science-agent	6	480
2026-04-18	code-agent	0	24
2026-04-19	code-agent	0	23
2026-04-20	code-agent	1	186
2026-04-20	science-agent	3	357
2026-04-21	code-agent	15	383
2026-04-21	science-agent	81	1863
2026-04-22	code-agent	0	230
2026-04-22	science-agent	9	1050
2026-04-23	science-agent	3	3
2026-04-24	code-agent	3	124
2026-04-24	devops-agent	0	225
2026-04-24	science-agent	15	496
2026-04-25	code-agent	3	232
2026-04-25	devops-agent	0	104
2026-04-25	science-agent	40	157
2026-04-26	code-agent	23	536
2026-04-26	devops-agent	0	177
2026-04-26	science-agent	18	117
2026-04-27	code-agent	1	377
2026-04-27	devops-agent	0	12
2026-04-27	science-agent	6	99
2026-04-29	code-agent	0	31
2026-04-29	devops-agent	1	22
2026-04-29	science-agent	0	82
2026-04-30	code-agent	4	181
2026-04-30	devops-agent	0	9
2026-04-30	science-agent	5	60
2026-05-01	code-agent	0	170
2026-05-01	devops-agent	0	18
2026-05-01	science-agent	4	37
2026-05-02	code-agent	0	34
2026-05-02	science-agent	0	6
2026-05-03	code-agent	5	74
2026-05-03	science-agent	2	6
2026-05-04	code-agent	1	82
2026-05-04	science-agent	4	39
2026-05-07	devops-agent	0	4
2026-05-09	science-agent	24	41
